DATA IN NGS FORMAT FROM DATABASE 19JUL15XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
        0.2983996376   0.03355        0.0137085698   0.00634  0           266608                
SEJONG    SESHAN25  0814+425 2019 07 16 03 10  44.0000000000              266701                
     856861.70392427   0.00940  -115623.0398399711   0.01785 0      I     266702                
   0.00104    .00000    .00000    .00000   1.585159819818130       0.0    266703                
  0.914   1.349  0.0002 -0.0002 -0.0008  0.0001      52709.713            266704
   0.00000   0.00000    .00000    .00000    .00000    .00000              266705                
    26.783    27.283   991.800  1007.800    69.132    89.349 0 0          266706                
        0.6441654257   0.05188        0.0010510507   0.02116  0           266708                
SEJONG    WETTZELL  0814+425 2019 07 16 03 10  44.0000000000              266801                
   16594829.78554320   0.00886  -312571.3685664890   0.00735 0      I     266802                
   0.00072    .00000    .00000    .00000  -1.323477078474726       0.0    266803                
  0.914   1.761  0.0002  0.0047 -0.0008 -0.0096      29873.549            266804
   0.00000   0.01525    .00000    .00000    .00000    .00000              266805                
    26.783    11.783   991.800   945.500    69.132    99.900 0 0          266806                
        1.2207976122   0.04078        0.0012433946   0.00726  0           266808                
SEJONG    YARRA12M  0814+425 2019 07 16 03 10  44.0000000000              266901                
   15462034.99058158   0.01232  -216129.2605174094   0.00489 0      I     266902                
   0.00036    .00000    .00000    .00000   1.580275582378925       0.0    266903                
  0.914   0.394  0.0002  0.0317 -0.0008  0.0007      49261.951            266904
   0.00000   0.00000    .00000    .00000    .00000    .00000              266905                
    26.783    17.912   991.800   995.994    69.132    39.959 0 0          266906                
        0.1349124642   0.04512        0.0227015330   0.00384  0           266908                
SESHAN25  WETTZELL  0814+425 2019 07 16 03 10  44.0000000000              267001                
   15737968.24091046   0.00809  -196948.3781191494   0.01536 0      I     267002                
   0.00114    .00000    .00000    .00000   5.395697526555041       0.0    267003                
  1.349   1.761 -0.0002  0.0047  0.0001 -0.0096     -22836.164            267004
   0.00000   0.01525    .00000    .00000    .00000    .00000              267005                
    27.283    11.783  1007.800   945.500    89.349    99.900 0 0          267006                
        0.5945141566   0.01246        0.0021247756   0.01535  0           267008                
SESHAN25  YARRA12M  0814+425 2019 07 16 03 10  44.0000000000              267101                
   14605173.41491665   0.01571  -100506.2189206254   0.02984 0      I     267102                
   0.00059    .00000    .00000    .00000   4.270949789679771       0.0    267103                
  1.349   0.394 -0.0002  0.0317  0.0001  0.0007      -3447.763            267104
   0.00000   0.00000    .00000    .00000    .00000    .00000              267105                
    27.283    17.912  1007.800   995.994    89.349    39.959 0 0          267106                
       -0.4495614511   0.01796        0.0182540985   0.02153  0           267108                
WETTZELL  YARRA12M  0814+425 2019 07 16 03 10  44.0000000000              267201                
   -1132796.36786649   0.01392    96440.3952607457   0.01155 0      I     267202                
   0.00044    .00000    .00000    .00000   2.277011254133237       0.0    267203                
  1.761   0.394  0.0047  0.0317 -0.0096  0.0007      19388.401            267204
   0.01525   0.00000    .00000    .00000    .00000    .00000              267205                
    11.783    17.912   945.500   995.994    99.900    39.959 0 0          267206                
       -1.0640326979   0.01168        0.0157432030   0.00578  0           267208                
AGGO      FORTLEZA  1741-038 2019 07 16 03 12  48.0000000000              267301                
     473308.03027549   0.10503   551809.5818376309   0.68935 4      I     267302                
   0.00023    .00000    .00000    .00000   4.115509865283443       0.2    267303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            267304
   0.03413   0.01171    .00000    .00000    .00000    .00000              267305                
     3.487    26.400  1021.161  1010.000    97.800    86.960 0 0          267306                
        2.6219691012   0.06320       -0.8573552102   0.21380  0           267308                
ISHIOKA   MATERA    0529+483 2019 07 16 03 13  38.0000000000              267401                
    6990028.09447209   0.01335 -1299208.3189483332   0.01277 0      I     267402                
   0.00049    .00000    .00000    .00000   1.842516788602918       0.0    267403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            267404
   0.00000  -0.08822    .00000    .00000    .00000    .00000              267405                
    22.420    15.600  1000.207   952.800    96.453    88.320 0 0          267406                
        0.4769569702   0.01644        0.0055381854   0.00827  0           267408                
ISHIOKA   NYALES20  0529+483 2019 07 16 03 13  38.0000000000              267501                
    2519012.71535616   0.00488  -717984.7640801080   0.00230 0      I     267502                
   0.00094    .00000    .00000    .00000   1.901217120086009       0.0    267503                
  1.149   0.383 -0.0011 -0.0005 -0.0020  0.0023    -171442.856            267504
   0.00000   0.02136    .00000    .00000    .00000    .00000              267505                
    22.420     6.454  1000.207  1012.678    96.453    79.500 0 0          267506                
        0.1320144984   0.00627        0.0359727782   0.00189  0           267508                
ISHIOKA   SESHAN25  0529+483 2019 07 16 03 13  38.0000000000              267601                
   -1293572.36034775   0.01040  -223221.9950516452   0.03002 0      I     267602                
   0.00110    .00000    .00000    .00000  -2.674464877326080       0.0    267603                
  1.149   1.375 -0.0011 -0.0003 -0.0020 -0.0001      19915.077            267604
   0.00000   0.00000    .00000    .00000    .00000    .00000              267605                
    22.420    27.180  1000.207  1007.800    96.453    90.626 0 0          267606                
        0.5873586525   0.01603       -0.0356053682   0.03002  0           267608                
ISHIOKA   WETTZELL  0529+483 2019 07 16 03 13  38.0000000000              267701                
    6074824.78804028   0.00430 -1194618.7168967468   0.00259 0      I     267702                
   0.00120    .00000    .00000    .00000   4.537209439672585       0.0    267703                
  1.149   0.575 -0.0011  0.0003 -0.0020 -0.0014      -2921.228            267704
   0.00000   0.01175    .00000    .00000    .00000    .00000              267705                
    22.420    11.700  1000.207   945.500    96.453    99.900 0 0          267706                
        1.0928380602   0.00638        0.0097904645   0.00248  0           267708                
MATERA    NYALES20  0529+483 2019 07 16 03 13  38.0000000000              267801                
   -4471019.48731939   0.00935   581224.3493487213   0.00900 0      I     267802                
   0.00070    .00000    .00000    .00000  -2.332387960575908       0.0    267803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            267804
  -0.08822   0.02136    .00000    .00000    .00000    .00000              267805                
    15.600     6.454   952.800  1012.678    88.320    79.500 0 0          267806                
       -0.3297916016   0.01380       -0.0073075546   0.00710  0           267808                
MATERA    SESHAN25  0529+483 2019 07 16 03 13  38.0000000000              267901                
   -8283608.01957757   0.01665  1075987.1541495032   0.04808 0      I     267902                
   0.00068    .00000    .00000    .00000  -3.208179404008936       0.0    267903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            267904
  -0.08822   0.00000    .00000    .00000    .00000    .00000              267905                
    15.600    27.180   952.800  1007.800    88.320    90.626 0 0          267906                
        0.0833852537   0.02863       -0.0715480550   0.04454  0           267908                
MATERA    WETTZELL  0529+483 2019 07 16 03 13  38.0000000000              268001                
    -915204.06951579   0.00590   104589.7986935937   0.00564 0      I     268002                
   0.00111    .00000    .00000    .00000  -3.629774848799455       0.0    268003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            268004
  -0.08822   0.01175    .00000    .00000    .00000    .00000              268005                
    15.600    11.700   952.800   945.500    88.320    99.900 0 0          268006                
        0.5937739734   0.01191        0.0135602005   0.00618  0           268008                
NYALES20  SESHAN25  0529+483 2019 07 16 03 13  38.0000000000              268101                
   -3812586.39585653   0.00883   494762.7345109467   0.02602 0      I     268102                
   0.00131    .00000    .00000    .00000   2.125578854545260       0.0    268103                
  0.383   1.375 -0.0005 -0.0003  0.0023 -0.0001     191357.933            268104
   0.02136   0.00000    .00000    .00000    .00000    .00000              268105                
     6.454    27.180  1012.678  1007.800    79.500    90.626 0 0          268106                
        0.4389946952   0.01587       -0.0178446557   0.03060  0           268108                
NYALES20  WETTZELL  0529+483 2019 07 16 03 13  38.0000000000              268201                
    3555813.36059924   0.00279  -476634.2718815281   0.00169 0      I     268202                
   0.00186    .00000    .00000    .00000  -0.312514097595583       0.0    268203                
  0.383   0.575 -0.0005  0.0003  0.0023 -0.0014     168521.628            268204
   0.02136   0.01175    .00000    .00000    .00000    .00000              268205                
     6.454    11.700  1012.678   945.500    79.500    99.900 0 0          268206                
        0.9495959872   0.00497       -0.0059071056   0.00197  0           268208                
SESHAN25  WETTZELL  0529+483 2019 07 16 03 13  38.0000000000              268301                
    7368395.87144331   0.00652  -971396.8076982778   0.01883 0      I     268302                
   0.00175    .00000    .00000    .00000   4.077828532703803       0.0    268303                
  1.375   0.575 -0.0003  0.0003 -0.0001 -0.0014     -22836.305            268304
   0.00000   0.01175    .00000    .00000    .00000    .00000              268305                
    27.180    11.700  1007.800   945.500    90.626    99.900 0 0          268306                
        0.5431174291   0.01353       -0.0338860424   0.02572  0           268308                
FORTLEZA  MATERA    2227-088 2019 07 16 03 18  21.0000000000              268401                
    5076924.93032125   0.01687  1272557.8774702209   0.02832 0      I     268402                
   0.00052    .00000    .00000    .00000   3.324589371049607       0.0    268403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            268404
   0.01196  -0.12207    .00000    .00000    .00000    .00000              268405                
    26.300    15.589  1010.000   952.800    87.825    93.589 0 0          268406                
        0.4816514965   0.01134       -0.0039526576   0.00874  0           268408                
FORTLEZA  WETTZELL  2227-088 2019 07 16 03 18  21.0000000000              268501                
    7118796.02168761   0.00796  1148824.7285699102   0.01336 0      I     268502                
   0.00109    .00000    .00000    .00000   1.706437246383139       0.0    268503                
  1.163   0.648 -0.0000 -0.0006 -0.0017  0.0008      -3141.870            268504
   0.01196   0.01420    .00000    .00000    .00000    .00000              268505                
    26.300    11.715  1010.000   945.500    87.825    99.900 0 0          268506                
        1.0855069040   0.00649       -0.0014062620   0.00644  0           268508                
MATERA    WETTZELL  2227-088 2019 07 16 03 18  21.0000000000              268601                
    2041871.71029617   0.00493  -123732.9696687842   0.00579 0      I     268602                
   0.00147    .00000    .00000    .00000   5.584403795075875       0.0    268603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            268604
  -0.12207   0.01420    .00000    .00000    .00000    .00000              268605                
    15.589    11.715   952.800   945.500    93.589    99.900 0 0          268606                
        0.6024995012   0.00496       -0.0043533107   0.00298  0           268608                
ISHIOKA   KATH12M   OJ287    2019 07 16 03 18  41.0000000000              268701                
    3594453.93598814   0.00503  -234784.8667762048   0.01053 0      I     268702                
   0.00192    .00000    .00000    .00000   2.411636710397833       0.0    268703                
  1.047   0.813  0.0008 -0.0013  0.0007 -0.0006       1998.898            268704
   0.00000   0.00000    .00000    .00000    .00000    .00000              268705                
    22.637    25.232  1000.290  1000.417    97.064    11.527 0 0          268706                
       -0.0629568670   0.00723        0.1296573027   0.00976  0           268708                
ISHIOKA   NYALES20  OJ287    2019 07 16 03 18  41.0000000000              268801                
   15758389.64037043   0.00260    27504.1414439260   0.00364 0      I     268802                
   0.00305    .00000    .00000    .00000   4.857260149995038       0.0    268803                
  1.047   1.376  0.0008 -0.0338  0.0007  0.0290    -171442.545            268804
   0.00000  -0.02594    .00000    .00000    .00000    .00000              268805                
    22.637     6.404  1000.290  1012.600    97.064    78.305 0 0          268806                
        0.2460845999   0.00287        0.0622545164   0.00252  0           268808                
ISHIOKA   SEJONG    OJ287    2019 07 16 03 18  41.0000000000              268901                
    1047976.30860300   0.00351  -251603.3812941661   0.00860 0      I     268902                
   0.00313    .00000    .00000    .00000   0.396526044185168       0.0    268903                
  1.047   0.995  0.0008 -0.0004  0.0007 -0.0017     -32794.825            268904
   0.00000   0.00000    .00000    .00000    .00000    .00000              268905                
    22.637    28.000  1000.290   991.800    97.064    69.042 0 0          268906                
       -0.0386860130   0.02289        0.0222134797   0.01203  0           268908                
ISHIOKA   SESHAN25  OJ287    2019 07 16 03 18  41.0000000000              269001                
    1519434.46069537   0.00240  -401029.2187841550   0.00692 0      I     269002                
   0.00473    .00000    .00000    .00000  -1.867726670955772       0.0    269003                
  1.047   1.446  0.0008  0.0001  0.0007  0.0002      19915.296            269004
   0.00000   0.00000    .00000    .00000    .00000    .00000              269005                
    22.637    26.900  1000.290  1007.790    97.064    91.121 0 0          269006                
        0.5879032073   0.00598        0.0261247409   0.01142  0           269008                
ISHIOKA   YARRA12M  OJ287    2019 07 16 03 18  41.0000000000              269101                
    9421237.32318592   0.00515  -523869.1582062248   0.01034 0      I     269102                
   0.00184    .00000    .00000    .00000   5.063236485552819       0.0    269103                
  1.047   0.175  0.0008  0.0058  0.0007  0.0003      16467.555            269104
   0.00000   0.00000    .00000    .00000    .00000    .00000              269105                
    22.637    18.085  1000.290   995.900    97.064    39.452 0 0          269106                
       -0.0089693532   0.00661        0.1076524646   0.00847  0           269108                
KATH12M   NYALES20  OJ287    2019 07 16 03 18  41.0000000000              269201                
   12163934.76588250   0.00608   262289.5147210367   0.01291 0      I     269202                
   0.00161    .00000    .00000    .00000   4.054303765530697       0.0    269203                
  0.813   1.376 -0.0013 -0.0338 -0.0006  0.0290    -173441.443            269204
   0.00000  -0.02594    .00000    .00000    .00000    .00000              269205                
    25.232     6.404  1000.417  1012.600    11.527    78.305 0 0          269206                
        0.3149261262   0.00748       -0.0391256810   0.01012  0           269208                
KATH12M   SEJONG    OJ287    2019 07 16 03 18  41.0000000000              269301                
   -2546477.55455068   0.00617   -16818.4922341064   0.01509 0      I     269302                
   0.00179    .00000    .00000    .00000  -5.177737498724121       0.0    269303                
  0.813   0.995 -0.0013 -0.0004 -0.0006 -0.0017     -34793.723            269304
   0.00000   0.00000    .00000    .00000    .00000    .00000              269305                
    25.232    28.000  1000.417   991.800    11.527    69.042 0 0          269306                
        0.1140823555   0.05110       -0.1495864245   0.02686  0           269308                
KATH12M   SESHAN25  OJ287    2019 07 16 03 18  41.0000000000              269401                
   -2075018.88086438   0.00386  -166244.4102266235   0.01114 0      I     269402                
   0.00294    .00000    .00000    .00000  -4.814357157466080       0.0    269403                
  0.813   1.446 -0.0013  0.0001 -0.0006  0.0002      17916.398            269404
   0.00000   0.00000    .00000    .00000    .00000    .00000              269405                
    25.232    26.900  1000.417  1007.790    11.527    91.121 0 0          269406                
        0.6411420398   0.00941       -0.0809776705   0.01797  0           269408                
KATH12M   YARRA12M  OJ287    2019 07 16 03 18  41.0000000000              269501                
    5826784.42503225   0.00676  -289084.2660837884   0.01416 0      I     269502                
   0.00143    .00000    .00000    .00000   5.909835688696942       0.0    269503                
  0.813   0.175 -0.0013  0.0058 -0.0006  0.0003      14468.657            269504
   0.00000   0.00000    .00000    .00000    .00000    .00000              269505                
    25.232    18.085  1000.417   995.900    11.527    39.452 0 0          269506                
        0.0381907538   0.00896       -0.0313040229   0.01201  0           269508                
NYALES20  SESHAN25  OJ287    2019 07 16 03 18  41.0000000000              269601                
  -14238948.35894430   0.00236  -428534.8825098359   0.00696 0      I     269602                
   0.00489    .00000    .00000    .00000  -6.196122310087152       0.0    269603                
  1.376   1.446 -0.0338  0.0001  0.0290  0.0002     191357.841            269604
  -0.02594   0.00000    .00000    .00000    .00000    .00000              269605                
     6.404    26.900  1012.600  1007.790    78.305    91.121 0 0          269606                
        0.3341675927   0.00550       -0.1877286253   0.01070  0           269608                
NYALES20  YARRA12M  OJ287    2019 07 16 03 18  41.0000000000              269701                
   -6337143.54354795   0.00608  -551374.7498781310   0.01237 0      I     269702                
   0.00157    .00000    .00000    .00000   1.078587831491198       0.0    269703                
  1.376   0.175 -0.0338  0.0058  0.0290  0.0003     187910.100            269704
  -0.02594   0.00000    .00000    .00000    .00000    .00000              269705                
     6.404    18.085  1012.600   995.900    78.305    39.452 0 0          269706                
       -0.2618548335   0.00622       -0.0081500870   0.00786  0           269708                
SEJONG    NYALES20  OJ287    2019 07 16 03 18  41.0000000000              269801                
   14710413.03126936   0.00372   279107.7504732070   0.00926 0      I     269802                
   0.00300    .00000    .00000    .00000   1.363282015707595       0.0    269803                
  0.995   1.376 -0.0004 -0.0338 -0.0017  0.0290    -138647.720            269804
   0.00000  -0.02594    .00000    .00000    .00000    .00000              269805                
    28.000     6.404   991.800  1012.600    69.042    78.305 0 0          269806                
        0.3157730915   0.02416        0.0914326451   0.01291  0           269808                
SEJONG    SESHAN25  OJ287    2019 07 16 03 18  41.0000000000              269901                
     471458.32284125   0.00246  -149426.0094323421   0.00712 0      I     269902                
   0.00485    .00000    .00000    .00000   5.936021486431255       0.0    269903                
  0.995   1.446 -0.0004  0.0001 -0.0017  0.0002      52710.121            269904
   0.00000   0.00000    .00000    .00000    .00000    .00000              269905                
    28.000    26.900   991.800  1007.790    69.042    91.121 0 0          269906                
        0.5752454812   0.03038       -0.0181422525   0.01885  0           269908                
SEJONG    YARRA12M  OJ287    2019 07 16 03 18  41.0000000000              270001                
    8373261.30496820   0.00632  -272265.8011958399   0.01547 0      I     270002                
   0.00175    .00000    .00000    .00000   1.007402733975871       0.0    270003                
  0.995   0.175 -0.0004  0.0058 -0.0017  0.0003      49262.380            270004
   0.00000   0.00000    .00000    .00000    .00000    .00000              270005                
    28.000    18.085   991.800   995.900    69.042    39.452 0 0          270006                
        0.0919387641   0.04166        0.0880753072   0.02190  0           270008                
SESHAN25  YARRA12M  OJ287    2019 07 16 03 18  41.0000000000              270101                
    7901803.05206216   0.00398  -122839.9397031349   0.01148 0      I     270102                
   0.00287    .00000    .00000    .00000  -2.526838401251935       0.0    270103                
  1.446   0.175  0.0001  0.0058  0.0002  0.0003      -3447.741            270104
   0.00000   0.00000    .00000    .00000    .00000    .00000              270105                
    26.900    18.085  1007.790   995.900    91.121    39.452 0 0          270106                
       -0.5886957433   0.00872        0.1388955406   0.01660  0           270108                
SEJONG    YARRA12M  0834-201 2019 07 16 03 22  33.0000000000              270201                
   -7774535.19977128   0.01997  -273903.7692072968   0.00833 4      I     270202                
   0.00023    .00000    .00000    .00000  -5.247946414541881       0.0    270203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            270204
   0.00000   0.00000    .00000    .00000    .00000    .00000              270205                
    27.774    18.040   991.800   995.900    66.047    40.179 0 0          270206                
        1.3567420286   0.13686        7.8960865865   0.01227  0           270208                
HART15M   KATH12M   1057-797 2019 07 16 03 22  35.0000000000              270301                
   -1320696.69634052   0.00605   -82264.3974135066   0.00261 0      I     270302                
   0.00072    .00000    .00000    .00000  -5.091777050322980       0.0    270303                
  0.361   1.772  0.0201  0.0106  0.0034 -0.0012      -1262.702            270304
   0.00000   0.00000    .00000    .00000    .00000    .00000              270305                
     2.200    25.348   871.900  1000.272    65.319    11.578 0 0          270306                
       -0.1529815694   0.00538       -0.0027597126   0.00140  0           270308                
FORTLEZA  ISHIOKA   2229+695 2019 07 16 03 23  17.0000000000              270401                
   -1907740.33267290   0.04425   515521.9486858221   0.02211 0      I     270402                
   0.00011    .00000    .00000    .00000  -3.486232862889165       0.1    270403                
  4.206   3.082  0.0010 -0.0227 -0.0077 -0.0063       -220.689            270404
   0.01946   0.00000    .00000    .00000    .00000    .00000              270405                
    26.300    22.300  1010.000  1000.233    87.472    96.000 0 0          270406                
        0.0728346823   0.02240       -0.0141154574   0.00490  0           270408                
FORTLEZA  MATERA    2229+695 2019 07 16 03 23  17.0000000000              270501                
  -13184994.07551258   0.05471   441267.4867460400   0.02981 0      I     270502                
   0.00009    .00000    .00000    .00000   0.910091027481457       0.1    270503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            270504
   0.01946  -0.13215    .00000    .00000    .00000    .00000              270505                
    26.300    15.470  1010.000   952.770    87.472    93.500 0 0          270506                
        0.4390326446   0.02691       -0.0170194813   0.00525  0           270508                
FORTLEZA  NYALES20  2229+695 2019 07 16 03 23  17.0000000000              270601                
  -16173115.97588412   0.03136   312871.1407930906   0.01641 0      I     270602                
   0.00015    .00000    .00000    .00000  -5.093852185444369       0.1    270603                
  4.206   0.281  0.0010  0.0003 -0.0077 -0.0002    -171662.951            270604
   0.01946  -0.08074    .00000    .00000    .00000    .00000              270605                
    26.300     6.505  1010.000  1012.651    87.472    79.153 0 0          270606                
        0.0806739285   0.01571       -0.0295610631   0.00354  0           270608                
FORTLEZA  SESHAN25  2229+695 2019 07 16 03 23  17.0000000000              270701                
   -1511696.79695138   0.03592   641180.4469822558   0.01795 0      I     270702                
   0.00013    .00000    .00000    .00000  -0.225348984920101       0.1    270703                
  4.206   4.169  0.0010 -0.0095 -0.0077 -0.0009      19694.806            270704
   0.01946   0.00000    .00000    .00000    .00000    .00000              270705                
    26.300    26.900  1010.000  1007.733    87.472    92.067 0 0          270706                
        0.6636559746   0.02020       -0.0055296988   0.00495  0           270708                
FORTLEZA  WETTZELL  2229+695 2019 07 16 03 23  17.0000000000              270801                
  -14691297.05097068   0.02047   397386.2097455129   0.01022 0      I     270802                
   0.00023    .00000    .00000    .00000  -3.453044815700707       0.0    270803                
  4.206   0.355  0.0010  0.0001 -0.0077  0.0001      -3141.964            270804
   0.01946   0.02362    .00000    .00000    .00000    .00000              270805                
    26.300    11.767  1010.000   945.500    87.472    99.900 0 0          270806                
        1.0221009492   0.01151       -0.0074361777   0.00282  0           270808                
ISHIOKA   MATERA    2229+695 2019 07 16 03 23  17.0000000000              270901                
  -11277253.90870604   0.02537   -74254.3277423292   0.01382 0      I     270902                
   0.00019    .00000    .00000    .00000  -2.228850116348026       0.0    270903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            270904
   0.00000  -0.13215    .00000    .00000    .00000    .00000              270905                
    22.300    15.470  1000.233   952.770    96.000    93.500 0 0          270906                
        0.3717239239   0.01671       -0.0041133866   0.00414  0           270908                
ISHIOKA   NYALES20  2229+695 2019 07 16 03 23  17.0000000000              271001                
  -14265376.05742802   0.01392  -202650.6414753551   0.00728 0      I     271002                
   0.00035    .00000    .00000    .00000  -1.800283314772006       0.0    271003                
  3.082   0.281 -0.0227  0.0003 -0.0063 -0.0002    -171442.262            271004
   0.00000  -0.08074    .00000    .00000    .00000    .00000              271005                
    22.300     6.505  1000.233  1012.651    96.000    79.153 0 0          271006                
        0.0218896444   0.00862       -0.0202478560   0.00237  0           271008                
ISHIOKA   SESHAN25  2229+695 2019 07 16 03 23  17.0000000000              271101                
     396043.80276139   0.00846   125658.4482728655   0.00421 0      I     271102                
   0.00056    .00000    .00000    .00000   3.026884180169573       0.0    271103                
  3.082   4.169 -0.0227 -0.0095 -0.0063 -0.0009      19915.495            271104
   0.00000   0.00000    .00000    .00000    .00000    .00000              271105                
    22.300    26.900  1000.233  1007.733    96.000    92.067 0 0          271106                
        0.6153623568   0.00776        0.0046756521   0.00235  0           271108                
ISHIOKA   WETTZELL  2229+695 2019 07 16 03 23  17.0000000000              271201                
  -12783556.89996775   0.00967  -118135.5486293236   0.00462 0      I     271202                
   0.00048    .00000    .00000    .00000   1.759224428139873       0.0    271203                
  3.082   0.355 -0.0227  0.0001 -0.0063  0.0001      -2921.275            271204
   0.00000   0.02362    .00000    .00000    .00000    .00000              271205                
    22.300    11.767  1000.233   945.500    96.000    99.900 0 0          271206                
        0.9750268053   0.00715       -0.0010401923   0.00196  0           271208                
MATERA    NYALES20  2229+695 2019 07 16 03 23  17.0000000000              271301                
   -2988123.61748959   0.01143  -128396.5463094307   0.00623 0      I     271302                
   0.00043    .00000    .00000    .00000  -5.255050663065775       0.0    271303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            271304
  -0.13215  -0.08074    .00000    .00000    .00000    .00000              271305                
    15.470     6.505   952.770  1012.651    93.500    79.153 0 0          271306                
       -0.3521591540   0.01029       -0.0197752025   0.00282  0           271308                
MATERA    SESHAN25  2229+695 2019 07 16 03 23  17.0000000000              271401                
   11673299.94994380   0.01922   199912.2482399723   0.01047 0      I     271402                
   0.00026    .00000    .00000    .00000   2.187430637704296       0.0    271403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            271404
  -0.13215   0.00000    .00000    .00000    .00000    .00000              271405                
    15.470    26.900   952.770  1007.733    93.500    92.067 0 0          271406                
        0.2277987492   0.01576        0.0092338535   0.00422  0           271408                
MATERA    WETTZELL  2229+695 2019 07 16 03 23  17.0000000000              271501                
   -1506303.52588436   0.00713   -43881.2644314631   0.00388 0      I     271502                
   0.00069    .00000    .00000    .00000  -2.614871854245595       0.0    271503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            271504
  -0.13215   0.02362    .00000    .00000    .00000    .00000              271505                
    15.470    11.767   952.770   945.500    93.500    99.900 0 0          271506                
        0.5933528540   0.00899        0.0035188494   0.00258  0           271508                
NYALES20  SESHAN25  2229+695 2019 07 16 03 23  17.0000000000              271601                
   14661424.47246210   0.01060   328308.7663859763   0.00555 0      I     271602                
   0.00046    .00000    .00000    .00000   4.915727721198856       0.0    271603                
  0.281   4.169  0.0003 -0.0095 -0.0002 -0.0009     191357.757            271604
  -0.08074   0.00000    .00000    .00000    .00000    .00000              271605                
     6.505    26.900  1012.651  1007.733    79.153    92.067 0 0          271606                
        0.5895778863   0.00789        0.0239021017   0.00237  0           271608                
NYALES20  WETTZELL  2229+695 2019 07 16 03 23  17.0000000000              271701                
    1481820.32854392   0.00435    84515.3358315726   0.00228 0      I     271702                
   0.00111    .00000    .00000    .00000   2.435955898524109       0.0    271703                
  0.281   0.355  0.0003  0.0001 -0.0002  0.0001     168520.987            271704
  -0.08074   0.02362    .00000    .00000    .00000    .00000              271705                
     6.505    11.767  1012.651   945.500    79.153    99.900 0 0          271706                
        0.9626663358   0.00505        0.0192521333   0.00167  0           271708                
SESHAN25  WETTZELL  2229+695 2019 07 16 03 23  17.0000000000              271801                
  -13179600.62026740   0.00751  -243793.9986450588   0.00374 0      I     271802                
   0.00063    .00000    .00000    .00000  -2.893454749550532       0.0    271803                
  4.169   0.355 -0.0095  0.0001 -0.0009  0.0001     -22836.770            271804
   0.00000   0.02362    .00000    .00000    .00000    .00000              271805                
    26.900    11.767  1007.733   945.500    92.067    99.900 0 0          271806                
        0.3619988478   0.00685       -0.0042274631   0.00207  0           271808                
HART15M   KATH12M   0308-611 2019 07 16 03 26  17.0000000000              271901                
    7689820.66270231   0.02483  1072356.5262066990   0.06289 0      I     271902                
   0.00043    .00000    .00000    .00000   2.153217273496157       0.0    271903                
  0.148   1.646  0.0021  0.0079  0.0019  0.0039      -1262.809            271904
   0.00000   0.00000    .00000    .00000    .00000    .00000              271905                
     2.151    25.365   871.900  1000.169    65.249    11.729 0 0          271906                
       -0.1627528099   0.02058       -0.0075842292   0.03096  0           271908                
HART15M   YARRA12M  0308-611 2019 07 16 03 26  17.0000000000              272001                
    1328717.77053743   0.02279   913508.8777908240   0.05773 0      I     272002                
   0.00047    .00000    .00000    .00000   2.037560581569815       0.0    272003                
  0.148   0.148  0.0021 -0.0032  0.0019 -0.0002      13206.406            272004
   0.00000   0.00000    .00000    .00000    .00000    .00000              272005                
     2.151    18.118   871.900   995.891    65.249    39.946 0 0          272006                
       -0.2016651267   0.01476       -0.0411768146   0.02018  0           272008                
KATH12M   YARRA12M  0308-611 2019 07 16 03 26  17.0000000000              272101                
   -6361101.70526920   0.01589  -158847.5853586667   0.01189 0      I     272102                
   0.00036    .00000    .00000    .00000  -0.156098890318554       0.0    272103                
  1.646   0.148  0.0079 -0.0032  0.0039 -0.0002      14469.214            272104
   0.00000   0.00000    .00000    .00000    .00000    .00000              272105                
    25.365    18.118  1000.169   995.891    11.729    39.946 0 0          272106                
       -0.0698416071   0.01359        0.0014845216   0.00609  0           272108                
FORTLEZA  ISHIOKA   0059+581 2019 07 16 03 26  52.0000000000              272201                
   -4886571.31454407   0.01953  1371832.7083879898   0.00775 0      I     272202                
   0.00022    .00000    .00000    .00000  -1.594134539533643       0.0    272203                
  7.261   2.749  0.0033 -0.0152 -0.0634 -0.0130       -220.739            272204
   0.02021   0.00000    .00000    .00000    .00000    .00000              272205                
    26.300    22.694  1009.900  1000.300    86.327    96.133 0 0          272206                
        0.0529944437   0.00999       -0.0122354985   0.00176  0           272208                
FORTLEZA  MATERA    0059+581 2019 07 16 03 26  52.0000000000              272301                
  -17207694.74923962   0.01789   607318.8586872312   0.01819 0      I     272302                
