DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
HART15M   MEDICINA  1639-062 2019 06 20 18 30  30.0000000000                 701                
    8790608.83116595    .00751   -46028.0038888436    .01346 0      I        702                
    .00120    .00000    .00000    .00000  -2.152612602770655        0.       703                
  0.115   1.534 -0.0004  0.0214 -0.0009 -0.0200     -11626.885               704
    .00000    .00000    .00000    .00000    .00000    .00000                 705                
     5.700    28.789   873.900  1008.611    46.500    29.900 0 0             706                
       -4.0819982961    .00676         .0018440917    .00674  0              708                
HART15M   YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                 801                
   11649723.19177893    .00533  -253577.3579022456    .00954 0      I        802                
    .00169    .00000    .00000    .00000   5.202200763865371        0.       803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               804
    .00000 -10.59959    .00000    .00000    .00000    .00000                 805                
     5.700    23.885   873.900   908.085    46.500    27.000 0 0             806                
       -5.0105532112    .00605         .0303738300    .00796  0              808                
YEBES40M  ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                 901                
   -7618460.07425110    .00215   650918.4011387042    .00438 0      I        902                
    .00444    .00000    .00000    .00000  -4.396419298116674        0.       903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               904
 -10.59959    .00000    .00000    .00000    .00000    .00000                 905                
    23.885    15.185   908.085   883.415    27.000    75.971 0 0             906                
        4.3534630784    .00423        -.0179597115    .00702  0              908                
ISHIOKA   KATH12M   1639-062 2019 06 20 18 30  30.0000000000                1001                
   -5547268.76790936    .03268   174765.7344710126    .03717 0      I       1002                
    .00022    .00000    .00000    .00000  -2.563514923152288        0.      1003                
  6.241   0.659 -0.1022 -0.0001  0.2835  0.0309       2988.835              1004
    .00000    .00000    .00000    .00000    .00000    .00000                1005                
    19.541    13.391   996.500  1000.400    98.720    37.295 0 0            1006                
       -4.3393171578    .01367         .0098899370    .01063  0             1008                
ISHIOKA   YARRA12M  1639-062 2019 06 20 18 30  30.0000000000                1101                
   -9988009.34847644    .03944  -160689.5572109263    .04401 0      I       1102                
    .00018    .00000    .00000    .00000    .191931556338002        0.      1103                
  6.241  -0.097 -0.1022 -0.0022  0.2835 -0.0107      14802.453              1104
    .00000    .00000    .00000    .00000    .00000    .00000                1105                
    19.541    14.354   996.500   981.400    98.720    56.639 0 0            1106                
       -4.0247263897    .01395         .0021104336    .01073  0             1108                
KATH12M   YARRA12M  1639-062 2019 06 20 18 30  30.0000000000                1201                
   -4440742.41527895    .01272  -335454.9241091536    .00583 0      I       1202                
    .00036    .00000    .00000    .00000  -5.774500233685731        0.      1203                
  0.659  -0.097 -0.0001 -0.0022  0.0309 -0.0107      11813.618              1204
    .00000    .00000    .00000    .00000    .00000    .00000                1205                
    13.391    14.354  1000.400   981.400    37.295    56.639 0 0            1206                
         .3502907659    .01014         .0036245242    .00313  0             1208                
BADARY    ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                1301                
